Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.20     0.00     2758     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::_S_relocate(Sheep*, Sheep*, Sheep*, std::allocator<Sheep>&)
  0.00      0.20     0.00     2758     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::_S_do_relocate(Sheep*, Sheep*, Sheep*, std::allocator<Sheep>&, std::integral_constant<bool, true>)
  0.00      0.20     0.00     2758     0.00     0.00  Sheep* std::__relocate_a<Sheep*, Sheep*, std::allocator<Sheep> >(Sheep*, Sheep*, Sheep*, std::allocator<Sheep>&)
  0.00      0.20     0.00     2758     0.00     0.00  Sheep* std::__relocate_a_1<Sheep*, Sheep*, std::allocator<Sheep> >(Sheep*, Sheep*, Sheep*, std::allocator<Sheep>&)
  0.00      0.20     0.00     2609     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.20     0.00     2460     0.00     0.00  std::_Vector_base<Wolf, std::allocator<Wolf> >::_M_get_Tp_allocator() const
  0.00      0.20     0.00     2460     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::max_size() const
  0.00      0.20     0.00     2460     0.00     0.00  std::allocator_traits<std::allocator<Wolf> >::max_size(std::allocator<Wolf> const&)
  0.00      0.20     0.00     2460     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::_S_max_size(std::allocator<Wolf> const&)
  0.00      0.20     0.00     2460     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::_S_relocate(Wolf*, Wolf*, Wolf*, std::allocator<Wolf>&)
  0.00      0.20     0.00     2460     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::_S_do_relocate(Wolf*, Wolf*, Wolf*, std::allocator<Wolf>&, std::integral_constant<bool, true>)
  0.00      0.20     0.00     2460     0.00     0.00  Wolf* std::__relocate_a<Wolf*, Wolf*, std::allocator<Wolf> >(Wolf*, Wolf*, Wolf*, std::allocator<Wolf>&)
  0.00      0.20     0.00     2460     0.00     0.00  Wolf* std::__relocate_a_1<Wolf*, Wolf*, std::allocator<Wolf> >(Wolf*, Wolf*, Wolf*, std::allocator<Wolf>&)
  0.00      0.20     0.00     2452     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::end()
  0.00      0.20     0.00     1998     0.00     0.00  Animal::Animal(int, int, int)
  0.00      0.20     0.00     1589     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::begin()
